SpeciesName,Overview,Size,Morphology,Behavior,Distribution,Habitat,Habitat Details,CommonNames,Kingdom,Phylum,Class,Order,Family,Genus,Species,Conservation Status
Gazella bennettii,"The Chinkara (Gazella bennettii) is a small antelope species found in various parts of South Asia, including India. Known for their elegance and ability to survive in arid environments, Chinkaras are well-adapted to the diverse landscapes they inhabit.","Chinkaras vary in size depending on their location and subspecies. On average, they have a body length ranging from about 80 to 105 cm (31.5 to 41.3 inches), and their shoulder height can measure around 65 to 80 cm (25.6 to 31.5 inches). Their weight typically falls between 20 to 35 kg (44 to 77 lbs).","These antelopes have a graceful build with slender legs and a tawny fur coat that blends well with their natural surroundings. Males often have distinctive, lyre-shaped horns.","Chinkaras are primarily diurnal, meaning they are active during the day. They are herbivores, feeding on a variety of plant materials such as grasses, leaves, and shrubs. They are known for their agility and speed, which helps them evade predators.","The Chinkara has a wide distribution across many countries in South Asia, including India, Pakistan, and Iran. They inhabit a range of habitats, from deserts to grasslands.","These antelopes are highly adapted to arid and semi-arid environments. They are often found in deserts, grasslands, and scrublands, and they can survive with limited water resources.","Chinkaras are typically solitary or found in small groups, consisting of females and their young. Males are often solitary except during the mating season. They are known for their ability to go for extended periods without water, obtaining moisture from their food.","{'English': ['Chinkara', 'Indian Gazelle'], 'Other': ['Indian Gazelle']}",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,Gazella bennettii (Sykes 1831),Least Concern
Paguma larvata,"The Masked Palm Civet (Paguma larvata) is a small carnivorous mammal found in various parts of Asia, including India. Known for its distinctive appearance and nocturnal habits, the Masked Palm Civet is part of the civet family and plays a role in the ecosystems it inhabits.","Masked Palm Civets have a body length ranging from about 41 to 61 cm (16.1 to 24 inches), and their tail can measure around 38 to 51 cm (15 to 20 inches). They generally weigh between 1.5 to 4.5 kg (3.3 to 9.9 lbs).","These civets have a slender body with a pointed face and a mask-like pattern around their eyes, which gives them their common name. They have a dense fur coat that can vary in color from gray to brown.","Masked Palm Civets are primarily nocturnal, meaning they are active during the night. They are omnivores, with a diet that includes a variety of foods such as fruits, insects, small vertebrates, and even plant matter.","The Masked Palm Civet is found in several countries in Asia, including India, Nepal, China, and Southeast Asian countries. They inhabit a range of habitats, from forests to agricultural areas.","These civets are adaptable to various environments and can be found in diverse habitats, including tropical and subtropical forests, as well as areas near human settlements.","Masked Palm Civets are known for their solitary behavior, except during the mating season. They are skilled climbers and often move through trees and shrubs in search of food. They use their strong sense of smell to locate prey and ripe fruits.","{'English': ['Gem-faced Civet', 'Masked Palm Civet'], 'Other': ['Masked Palm Civet']}",Animalia,Chordata,Mammalia,Carnivora,Viverridae,Paguma,Paguma larvata (C. E. H. Smith 1827),Least Concern
Paraechinus micropus,"The Desert Hedgehog (Paraechinus micropus) is a small mammal found in arid regions of Asia, including parts of India. Known for its distinctive spiky appearance and nocturnal habits, the Desert Hedgehog is adapted to survive in harsh desert environments.","Desert Hedgehogs have a body length ranging from about 15 to 20 cm (5.9 to 7.9 inches), and their tail can measure around 2 to 4 cm (0.8 to 1.6 inches). They generally weigh between 150 to 300 grams (5.3 to 10.6 ounces).","These hedgehogs have a spiky coat of quills that provide protection against predators. They can roll into a tight ball when threatened, with their quills pointing outwards. Their coloration can vary, but they typically have a mixture of brown and white.","Desert Hedgehogs are primarily nocturnal, meaning they are active during the night. They are insectivores, feeding on a diet of insects, worms, and other small invertebrates.","The Desert Hedgehog is found in arid and desert regions across several countries in Asia, including India, Pakistan, Iran, and parts of Central Asia. They inhabit a range of desert habitats.","These hedgehogs are highly adapted to desert environments, including sandy and rocky habitats. They are often found in areas with sparse vegetation and sandy substrates.","Desert Hedgehogs have specialized adaptations for desert life, including their ability to conserve water and their nocturnal behavior to avoid the extreme heat of the day. They are solitary animals and are known for their burrowing habits, often creating shelters in sandy or soft soil.",{'English': ['Indian Hedgehog']},Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Paraechinus,Paraechinus micropus (Blyth 1846),Least Concern
Bos grunniens,"The Yak (Bos grunniens) is a large and sturdy bovine species found in the Himalayan region of Asia, including parts of India. Known for their adaptability to high altitudes and cold environments, yaks are important for the livelihoods of local communities in mountainous areas.","Yaks vary in size depending on their location and subspecies. On average, they have a body length ranging from about 2.5 to 3.3 meters (8.2 to 10.8 feet), and their shoulder height can measure around 1.6 to 2 meters (5.2 to 6.6 feet). Their weight typically falls between 300 to 1,000 kg (661 to 2,205 lbs).",These bovines have a robust build with a shaggy fur coat that helps insulate them from the cold. They have long hair on their tails and a dense undercoat that keeps them warm. Both males and females have horns.,"Yaks are well adapted to life in high-altitude and cold environments. They are herbivores, feeding on a variety of plant materials such as grasses, leaves, and shrubs. They are known for their surefootedness and ability to navigate mountainous terrain.","Yaks are found in the Himalayan region across several countries, including India, Nepal, Bhutan, and Tibet. They inhabit a range of high-altitude habitats, including alpine meadows and mountain slopes.","These bovines are highly adapted to cold and harsh environments. They are often found in areas with rugged terrain and high altitudes, where temperatures can drop significantly.","Yaks have a social structure that includes both solitary individuals and small groups. They are used for various purposes by local communities, such as transportation, milk production, and meat. Their fur is also used to make textiles.",{'English': ['Yak']},Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Bos grunniens Linnaeus 1766,Vulnerable
Trachypithecus phayrei,"Phayre's Leaf Monkey (Trachypithecus phayrei) is a species of langur found in Southeast Asia, including parts of India. Known for their striking appearance and arboreal habits, these monkeys inhabit forested regions and play an important role in the ecosystems they occupy.","Phayre's Leaf Monkeys vary in size depending on their location and subspecies. On average, they have a body length ranging from about 55 to 65 cm (21.7 to 25.6 inches), and their tail can measure around 65 to 85 cm (25.6 to 33.5 inches). They generally weigh between 5 to 9 kg (11 to 19.8 lbs).","These monkeys have a distinctive appearance with a dark face surrounded by a white ring of fur. Their body coloration can vary from dark brown to gray, and their fur is often long and shaggy.","Phayre's Leaf Monkeys are primarily arboreal, spending most of their time in trees. They are herbivores, feeding on a diet of leaves, fruits, flowers, and young shoots. Their specialized stomach allows them to digest fibrous plant material.","Phayre's Leaf Monkeys are found in several countries in Southeast Asia, including India, Myanmar, Thailand, and parts of China. They inhabit a range of forested habitats, including tropical and subtropical forests.",These monkeys are well adapted to life in forests and are often found in hilly or mountainous terrain. They are skilled climbers and are known for their agility in moving through the trees.,"Phayre's Leaf Monkeys are typically seen in small groups, consisting of several individuals. They have a complex social structure with hierarchical interactions. They communicate using various vocalizations and physical gestures.","{'Assamese': ['Chasma chakuwa bandor'], 'Bengali': ['Chosma bandor, kaala bandor'], 'English': [""Phayre's Langur"", ""Phayre's Leaf Monkey"", 'Spectacled Monkey'], 'Other': ['Phayreâ€™s Leaf-monkey']}",Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Trachypithecus,Trachypithecus phayrei (Blyth 1847),Endangered
Herpestes urva,"The Small Indian Mongoose (Herpestes urva) is a small carnivorous mammal found in various parts of South Asia, including India. Known for their adaptability and hunting prowess, these mongooses play a role in controlling pest populations and shaping ecosystems.",Measurements: Tail Length (TL): 25-30 cm; Weight (Wt): 1.8-2.3 kg,"These mongooses have a slender body with short legs and a long, bushy tail. Their fur color can vary, but they often have a gray or brownish coat.","Small Indian Mongooses are primarily diurnal, meaning they are active during the day. They are opportunistic predators, feeding on a variety of prey such as insects, small vertebrates, and even eggs.","The Small Indian Mongoose is found in several countries in South Asia, including India, Sri Lanka, Nepal, and parts of Southeast Asia. They inhabit a range of habitats, from forests to grasslands.","These mongooses are adaptable to various environments and can be found in diverse habitats, including forests, grasslands, and even urban areas. They are often associated with areas near water bodies.","Small Indian Mongooses are known for their hunting behavior and ability to catch a wide range of prey. They are agile climbers and are often seen foraging for food in various locations, including burrows and vegetation.","{'Assamese': ['Newul'], 'Bengali': ['Beji'], 'English': ['Crab eating Mongoose', 'Crab-eating Mongoose'], 'Other': ['Crabâ€eating Mongoose', 'English']}",Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Herpestes,Herpestes urva (Hodgson 1836),Least Concern
Hemitragus jemlahicus,"The Himalayan Tahr (Hemitragus jemlahicus) is a large ungulate species found in the mountainous regions of the Himalayas, including parts of India. Known for their surefootedness and adaptation to high-altitude habitats, Himalayan Tahrs are iconic animals of the Himalayan ecosystem.","Himalayan Tahrs vary in size depending on their location and sex. On average, they have a body length ranging from about 1.5 to 2.3 meters (4.9 to 7.5 feet), and their shoulder height can measure around 60 to 100 cm (23.6 to 39.4 inches). Their weight typically falls between 50 to 100 kg (110 to 220 lbs).","These tahrs have a robust build with a thick coat of fur that varies in color according to the season. During winter, their fur is longer and reddish-brown, while in summer, it becomes shorter and more grayish.","Himalayan Tahrs are well adapted to mountainous terrains and are often seen climbing steep slopes with ease. They are herbivores, feeding on a diet of grasses, shrubs, and other vegetation. They are most active during the early morning and late afternoon.","The Himalayan Tahr is found in several countries in the Himalayan region, including India, Nepal, Bhutan, and parts of China. They inhabit alpine and subalpine environments, often found at high altitudes.","These tahrs are highly adapted to cold and rugged mountain environments. They are often found in alpine meadows, rocky slopes, and grassy areas of the Himalayas.","Himalayan Tahrs are known for their social behavior, often forming groups known as herds or bands. These herds can consist of females, young, and a dominant male. They use their sharp hooves for traction on rocky surfaces and communicate through vocalizations and body language.",{'Other': ['Himalayan Tahr']},Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Hemitragus,Hemitragus jemlahicus (C. H. Smith 1826),Near Threatened
Axis axis,"The Spotted deer is variously known as chital or cheetal or chital deer, spotted deer or axis deer. It is a common inhabitant of wooded forest of India. They are usually found in large herds of ten to fifty individuals with the large dominant males occurring at the centre.Smaller stags occupy the boundaries of the herd.","Height of males at shoulder 36 to 38 inches in Central and Northeru India, length 4.5 to 5 feet. A female measured 30 inches high, 53 long; tail with hair 12.5 without 10. In Southern India the height is considerably less, 30 to 34 inches according to Jerdon. Basal length of a large male skull 9-75, orbital breadth 4-7. Horns of the larger variety have been measured 38 and 38.75 inches long round the curve, with a girth of 4 at mid-beam and 5.75 at the base above the burr. Ordinary horns measure about 30 in length, but heads from Bengal and Southern India are generally smaller.","Size moderate. No mane. Molars very hypsodont. Muffle as in C. unicolor. Tail long, pointed. Interdigital glands in hind feet only (Hodgson). Upper canines generally wanting (Hodgson states that he has found them in both sexes). Horns normally with three tines, a brow-antler which joins the beam at rather less than a right angle, and two upper tines of which the outer is always much the longer. Sports or irregular points in the axil of the brow-tine very common ; few fine horns are without them, but other additional points are rare. Colour rufous fawn, spotted throughout the body with white at all seasons and all ages, A dark dorsal stripe from nape to end of tail, bordered by a single or double row of white spots on the back. Low down on the sides the white spots sometimes blend into a horizontal line. Chin and upper throat, belly, inside of limbs, and lower surface of the tail white. Head brownish unspotted, the face darker. Ears brown outside, wliite within. A melanoid variety indistinctly spotted occasionally occurs.","The especial habitat of this deer, perhaps the most beautiful in form and coloration of the whole family, is amongst bushes and trees near water, and in bamboo-jungle. The spotted deer is found both in hilly ground and on alluvial plains. It never goes far from its drinking-places. So long as it has a wild tract of bush or ravines for shelter, it appears to care little for the neighbourhood of man. Many of its favourite haunts are in some of the most beautiful wild scenery of the Indian plains and lower hills, on the margins of rippling streams with their banks over-grown by lofty trees, or in the grassy glades that open out amidst the exquisite foliage of bamboo clumps. Spotted deer are thoroughly gregarious and associate at all times of the year in herds, sometimes of several hundreds. They are less nocturnal than sambar, and may be found feeding for three or four hours after sunrise, and again in the afternoon for an hour or two before sunset. They generally drink between 8 and 10 o'clock in the morning, the time varying with the season of year, and repose during the day in deep shade. They swim well, and take readily to water. They both graze and browse. There is great irregularity as to the period of dropping the horns, and bucks with perfect antlers may be found at all seasons. The call of the spotted deer is a peculiar, loud, hoarse barking sound, easily recognized but difficult to describe. This deer also utters a shrill alarm cry.","Axis Deer are found in several countries in Asia, including India, Sri Lanka, Nepal, and Southeast Asian countries. They inhabit a range of habitats, from grasslands to forests.","These deer are adaptable to various environments and can be found in diverse habitats, including grasslands, forests, and even near human settlements. They are often associated with areas near water bodies.","Axis Deer are known for their social behavior, often forming herds consisting of females, young, and a dominant male. They communicate through vocalizations and body language. They are agile runners and can jump well, which helps them escape from predators.","{'Assamese': ['Phutuki pohu'], 'Bengali': ['Boro Khotiy', 'Boro khotiya'], 'English': ['Axis Deer', 'Chital', 'Indian Spotted Deer', 'Spotted Deer'], 'Gonds': ['Lupi.'], 'Hindi': ['Cheetal', 'Chital', 'Chitra or Chitri', 'Jhank', 'The male'], 'Kannada': ['Saraga', 'Saraga jinke'], 'Malayalam': ['Pulli Maan'], 'Marathi': ['Cheetal', 'Chital'], 'Other': ['Chital', 'Lupi.', 'Spotted Deer'], 'Tamil': ['Pulli Maan'], 'Telugu': ['Chukala jinka', 'Dupi']}",Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,Axis axis (Erxleben 1777),Least Concern
Paradoxurus hermaphroditus,"The Asian Palm civet or the Toddy cat is a small cat that leads a solitary, nocturnal lifestyle. It is both arboreal as well as terrestrial and is thought to be one of the most common species of civets. Popularly called the Toddy-cat, in consequence of its supposed fondness for the juice of the palm tree.","Length, head and body, 22 to 25 inches; tail 19.5 to 21 ; hind foot 3(1/10) ; weight 8.5 lb.","General colour brownish-black, with some dingy yellowish stripes on each side, more or less distinct, and sometimes not noticeable ; a white spot above and below each eye, and the forehead with a whitish band in some ; a black line from the top of the head down the centre of the nose is generally observable. In many individuals the ground colour appears to be fulvous with black pencilling, or mixed fulvous and black ; the longitudinal stripes then show dark ; limbs always dark-brown. Some appear almost black throughout, and the young are said to be nearly all black. Some appear fulvous- gray washed with black, the face black, and the tail very dark ; and others appear to have the sides spotted. Many of these variations are owing to the state of abrasion of the fur, which is yellowish at the base and blackish at the tip. Some have the abdomen marked with elongated white spots, and individuals occur with the tail spirally twisted, so that the extremity has the lower surface uppermost ; and, according to Blyth, it was an individual similar to this one which the genus was founded, and the name Paradoxus bestowed, which has been translated into Screw-tail.","It lives much on trees, especially on the Palmyra and cocoa-nut palms, and is often found to have taken up its residence in the thick thatched roofs of native houses. It is also occasionally found in dry drains, outhouses, and other places of shelter. It is quite nocturnal, issuing forth at dark, and living by preference on animal food, rats, lizards, small birds, poultry, and eggs ; but it also freely partakes of vegetable food, fruit, and insects.
Asian Palm Civets are primarily nocturnal, meaning they are active during the night. They have a varied diet that includes fruits, insects, small vertebrates, and even plant matter. They are known for their ability to digest coffee cherries and play a role in the production of certain types of coffee.","The Asian Palm Civet is found in several countries in Asia, including India, Southeast Asian countries, and parts of China. They inhabit a range of habitats, from forests to agricultural areas.","Common in the forests, countryside and well woode towns. Often haunts dwelling houses at night in semi-urban localities","Asian Palm Civets are known for their solitary behavior, except during the mating season. They are agile climbers and are often seen moving through trees and vegetation. They are also known for their ability to emit loud calls, which are used for communication.","{'Assamese': ['Thekera-mahi/ Paokowa'], 'Bengali': ['Bhondar'], 'English': ['Asian Palm Civet', 'Common Palm Civet', 'Musang', 'Toddy-cat', 'Toddy Cat'], 'Hindi': ['Jhar ka kutta', 'Khatas', 'Lakati', 'Menuri'], 'Kannada': ['Kera bek'], 'Malayalam': ['Marrapilli.'], 'Marathi': ['Ud'], 'Other': ['Asian Palm Civet'], 'Telugu': ['Manupilli']}",Animalia,Chordata,Mammalia,Carnivora,Viverridae,Paradoxurus,Paradoxurus hermaphroditus (Pallas 1777),Least Concern
Ursus thibetanus,"The Asiatic Black Bear (Ursus thibetanus) is a medium-sized bear species found in various parts of Asia, including India. Recognizable by their dark fur and distinctively crescent-shaped white markings on their chests, Asiatic Black Bears inhabit diverse habitats and play a role in the ecosystems they occupy.","Asiatic Black Bears vary in size depending on their location and sex. On average, they have a body length ranging from about 1.2 to 1.9 meters (3.9 to 6.2 feet), and their shoulder height can measure around 60 to 90 cm (23.6 to 35.4 inches). Their weight typically falls between 40 to 200 kg (88 to 440 lbs).","These bears have a stocky build with a shaggy coat of fur that varies in color from black to brown. The distinctive white or cream-colored crescent shape on their chest gives them their common name ""Moon Bear.""","Asiatic Black Bears are primarily omnivores, feeding on a variety of foods such as fruits, berries, insects, small vertebrates, and plant matter. They are opportunistic feeders and have been known to raid crops or scavenger for food.","The Asiatic Black Bear is found in several countries in Asia, including India, China, Japan, and Southeast Asian countries. They inhabit a range of habitats, from forests to mountainous regions.","These bears are adaptable to various environments and can be found in diverse habitats, including temperate forests, subtropical forests, and mountainous areas.","Asiatic Black Bears are known for their solitary behavior, except during the mating season. They have a wide range of vocalizations, including growls, grunts, and even barks. They are also skilled climbers and swimmers.","{'Assamese': ['Bhaluk'], 'English': ['Asiatic black Bear', 'Himalayan Black Bear'], 'Other': ['Asiatic Black Bear']}",Animalia,Chordata,Mammalia,Carnivora,Ursidae,Ursus,Ursus thibetanus,Vulnerable
Callosciurus erythraeus,"The Pallas's Squirrel (Callosciurus erythraeus) is a small tree-dwelling rodent species found in various parts of Asia, including India. Recognizable by their vibrant coloration and energetic behavior, these squirrels are a common sight in many forested and urban areas.","Measurements: Tail Length (TL): 20.5-21.6 cm, Head & Body Length (HBL): 21.7-22.7 cm; Weight (Wt): 359-375 g","These squirrels have a slender body with a bushy tail, which they often hold over their back. Their fur coloration can vary, but they typically have a reddish-brown to orange-brown upper body and a creamy-white to reddish-brown underbelly.","Pallas's Squirrels are highly active and agile animals. They are skilled climbers and can navigate through trees with ease. They are primarily herbivores, feeding on a diet of fruits, seeds, flowers, and occasionally insects.","The Pallas's Squirrel is found in several countries in Asia, including India, China, Southeast Asian countries, and parts of Russia. They inhabit a range of habitats, from forests to urban areas.","These squirrels are adaptable to various environments and can be found in diverse habitats, including tropical and subtropical forests, gardens, parks, and even residential areas.","Pallas's Squirrels are often seen in trees, foraging for food and moving acrobatically among branches. They are known for their vocalizations, which include chirps and chatters. They also use their sharp teeth to gnaw on various items, including nuts and tree bark.","{'(All squirrels) Assamese': ['Kerketua'], 'Assamese': ['Kerketua'], 'English': [""Pallas's Squirrel""], 'Other': ['Pallasâ€™s Squirrel'], 'Others (Tribal) Bugun': ['Thrui']}",Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Callosciurus,Callosciurus erythraeus (Pallas 1779),Least Concern
Golunda ellioti,"The Indian Bush Rat (Golunda ellioti) is a small rodent species found in various parts of South Asia, including India. Recognizable by their distinct appearance and habitat preferences, these rats play a role in the ecosystems they inhabit.","Measurements: Tail Length (TL): 9.3-12.5 cm, Head & Body Length (HBL): 11.4-15.5 cm",These rats have a compact body with a relatively short tail and small ears. They have a brownish-gray fur coat and a paler underbelly.,"Indian Bush Rats are primarily nocturnal, meaning they are active during the night. They are omnivores, feeding on a diet that includes a variety of foods such as insects, seeds, fruits, and plant matter.","The Indian Bush Rat is found in several countries in South Asia, including India, Nepal, Sri Lanka, and parts of Southeast Asia. They inhabit a range of habitats, from forests to grasslands.","These rats are adaptable to various environments and can be found in diverse habitats, including tropical and subtropical forests, grasslands, and agricultural areas.","Indian Bush Rats are often found in dense vegetation, such as shrubs and bushes, which provide cover and protection from predators. They are known for their ability to navigate through thick undergrowth and their agility in climbing.","{'English': ['Indian Bush-rat', 'Indian Bush Rat'], 'Other': ['Indian Bush Rat']}",Animalia,Chordata,Mammalia,Rodentia,Muridae,Golunda,Golunda ellioti Gray 1837,Least Concern
Felis chaus,"The Jungle Cat (Felis chaus) is a medium-sized wild cat species found in various parts of Asia, including India. Recognizable by their distinct appearance and habitat preferences, Jungle Cats are known for their adaptability and unique behaviors.","Jungle Cats vary in size depending on their location and subspecies. On average, they have a body length ranging from about 55 to 85 cm (21.7 to 33.5 inches), and their tail can measure around 25 to 32 cm (9.8 to 12.6 inches). They generally weigh between 4 to 16 kg (8.8 to 35.3 lbs).","The largest of the existing species of Felis, with the tail comparatively short, almost invariably less than half the length of the head and body and less than twice the length of the hind foot. A distinct spinal crest and a small tuft on the ears. General colour above varying from clear grey to tawny or deep brownish, dependent on the tint of the speckling of the pelage, which is black and white or buff or ochreous ; spinal crest richer and darker ; backs of the ears varying from nearly uniformly ochreous with at most a small black tip, including the ""pencil,"" or extensively black at the tip and base and ochreous in the middle ; the underside sometimes almost entirely white, except for a broad buffish collar on the hind throat, but usually the chest behind the fore legs is invaded by buff, and sometimes most of the underside is rich ochreous-buff with only the fore throat and chin, the axillae, and the inguinal region whitish ; cheeks, muzzle, and outside of limbs greyish or ochreous ; tail typically paler than the body. Pattern on the head and back absent, on the flanks at most faintly traceable ; some spots on the chest below and an indistinct stripe on the throat-collar ; two brachial stripes, varying in distinctness, on the fore leg. Similar stripes on the hind leg above the hock ; tail with an irregular blackish stripe above in its proximal portion, its distal end conspicuously striped black and white, with tip black. Kitten with pronounced pattern.","It is the most familiar of the wild eats of India, and is found in bush-jungle, long grass, and reed-beds near rivers, lakes, and marshes, mostly in comparatively dry zones. It frequents alike jungles and the open country, and is very partial to long grass and reeds, sugar-cane fields, corn-fields, etc. It does much damage to game of all kindsâ€”hares, partridges etc. Its long legs give it a very distinctive appearance, its movements in the open recalling those of a small panther. It is very swift and exceedingly strong for its size, and is probably capable of pulling down quite large game. It seems, however, to prey mostly upon smallish mammals and on birds up to the size of pea-fowl. It also eats frogs when pressed by hunger, according to Ward, and Pallas long ago stated that it is a fish-eater.","The Jungle Cat is found in several countries in Asia, including India, Southeast Asian countries, and parts of the Middle East. They inhabit a range of habitats, from wetlands to grasslands.","These cats are adaptable to various environments and can be found in diverse habitats, including marshes, swamps, grasslands, and agricultural areas. They are often associated with areas near water bodies.","Jungle Cats are known for their solitary behavior, except during the mating season. They are skilled swimmers and climbers. They communicate using vocalizations, including calls resembling a series of barks.","{'Assamese': ['Bonbonda', 'Bon-mekuri', 'Bon mekuri/ Bonbonda'], 'Bengali': ['Banberal', 'Katas'], 'Bhagulpore hill tiibes': ['Birka'], 'English': ['Jungle Cat', 'Reed Cat', 'Swamp Cat'], 'Hindi': ['Jangli-billi', 'Katas'], 'Kannada': ['Mant bek'], 'Malayalam': ['Cherru puli'], 'Marathi': ['Bhaoga', 'Mota lahn manjur'], 'Other': ['Bella bek', 'Birka', 'Jungle Cat', 'Kada bek'], 'Others (Tribal) Adi': ['Tassi'], 'Others (Tribal) Idu Mishmi': ['Aschangu (Small cats', 'In general)'], 'Others (Tribal) Monpa': ['Susu-Namba'], 'Telugu': [""Jinka'pilli""], 'Waddars': ['Bella bek', 'Kada bek']}",Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis chaus Schreber 1777,Least Concern
Antilope cervicapra,"The Blackbuck (Antilope cervicapra) is a medium-sized antelope species found in various parts of the Indian subcontinent. Recognizable by their striking appearance and unique spiral-horned males, Blackbucks are known for their agility and distinctive behavior.","Blackbucks vary in size depending on their sex, with males being larger than females. On average, males have a body length ranging from about 100 to 140 cm (39.4 to 55.1 inches), and their shoulder height can measure around 74 to 84 cm (29.1 to 33.1 inches). Females are generally smaller.","The horns vary in divergence and in closeness of spiral ; in some the points are not more than 7 inches apart, in others as much as 20, irrespective of length ; the turns of the spiral in adults vary from less than 3 to 5. Horned females are occasionally, but very rarely, met with. Colour of does and young bucks yellowish-fawn above and on the outside of the limbs, lower parts white, the two colours sharply divided ; a distinct pale lateral band a little above the line of division. Old bucks are blackish brown above, becoming almost black in very old animals, except on the nape, which remains brownish rufous, whilst the sides and front of the neck, and also the face except a white area round each eye, are blackish brown. The pale lateral band disappears in old males.","Open plains of short grass, level or undulating, and cultivated laiid are the usual haunts of the Indian antelope, which is generally found in herds ; these are sometimes extremely numerous, and comprise occasionally several thousand animals of both sexes and all ages ; but more often small herds of does, generally 10 to 30 in number, but sometimes as many as 50, are met with, attended by a single black buck, which does not always accompany the females. Very often two or three younger bucks coloured like the does remain with the latter ; but these young males are sometimes driven away by older bucks, and form separate herds. This antelope never enters forest nor high grass, and is but rarely seen amongst bushes. The Indian antelope appears to have no particular hours for feeding, though it generally rests in the middle of the day. The Indian antelope, has the habit of occasionally springing into the air, all the members of a herd generally bounding, one after the other. This is done, before they are much frightened, and when the herd is first moving off. When at speed the gallop is like that of any other animal. Occasionally these antelopes conceal themselves in grass or culti-vation, and wounded animals not unfrequently hide. Young fawns, too, are generally concealed by the mothers. The only sound the buck utter is a peculiar grunt that he makes when excited ; the females have a hissing alarm note, according to Forsyth. Like most other Indian antelopes, they deposit their dung repeatedly on the same spot. The rutting-season, says Mr. Elliot, commences about February or March, but fawns are seen of all ages at every season. During the spring months the buck often separates a particular doe from the herd, and will not suffer her to join it again, cutting her off and intercepting every attempt to mingle with the rest. The two are often found alone also, but on being followed always rejoin the herd.","The Blackbuck is found in various parts of the Indian subcontinent, including India, Nepal, and Pakistan. They inhabit a range of grassland habitats.","These antelopes are well adapted to grassland environments and are often found in open plains, savannas, and agricultural areas.","Blackbucks are known for their social behavior, often forming herds consisting of females, young, and a dominant male. They communicate through vocalizations and body language. The males have distinctive spiral horns that are used for territorial displays and fighting during the breeding season.","{'Bengali': ['Harin'], 'English': ['Blackbuck', 'Sasin'], 'Hindi': ['Haran', 'Male & Harnia female'], 'Kannada': ['Chigri'], 'Other': ['Blackbuck'], 'Sanskrit': ['And harna', 'Harna the female', 'Mirga', 'Mirga the male', 'The female', 'The male'], 'Telugu': ['And Ledi', 'Irri', 'Irri the male', 'Jinka.', 'Ledi the female', 'The female', 'The male']}",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Antilope,Antilope cervicapra (Linnaeus 1758),Near Threatened
